machine,from_state,to_state,trigger,reason_code,hard_break
confirmed_state,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,continuous_K3_eligible_valid_raw_true,k3_confirmation,False
confirmed_state,CONFIRMED_ACTIVE,CONFIRMED_ACTIVE,raw_true_eligible_valid,confirmed_maintained,False
confirmed_state,CONFIRMED_ACTIVE,CONFIRMED_EXITED,raw_false,natural_state_exit,False
confirmed_state,CONFIRMED_ACTIVE,CONFIRMED_EXITED,unknown_blocked_diagnostic_missing,quality_interruption,True
event_zone,COMPONENT_FORMING,QUALIFIED_ACTIVE,confirmed_day_count_ge_d,d_qualification,False
event_zone,COMPONENT_FORMING,UNQUALIFIED_CLOSED,normal_exit_before_d,normal_short_interval_drop,False
event_zone,GAP_PENDING,FINALIZED,g_plus_1_ordinary_false_observed,gap_exceeds_g,False
event_zone,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,unknown_blocked_diagnostic_ineligible_missing,quality_break,True
event_zone,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,confirmed_run_within_g,reentry_pending,False
event_zone,REENTRY_PENDING_QUALIFICATION,QUALIFIED_ACTIVE,new_component_reaches_d,reentry_reaches_d_merge,False
event_zone,GAP_PENDING,RIGHT_CENSORED,sample_end,sample_end_open_zone,False
