primary_candidate_cell_id,comparison_candidate_cell_id,intersection_confirmed_days,confirmed_day_jaccard,matched_event_count,overlapping_event_count
r2_s_pct_w120_q20_shared__d1__g0,r2_s_pct_w250_q20_shared__d1__g0,5530,0.31060435857110763,1432,2756
r2_s_pct_w120_q20_shared__d1__g1,r2_s_pct_w250_q20_shared__d1__g1,5530,0.31060435857110763,1331,2655
r2_s_pct_w120_q20_shared__d1__g2,r2_s_pct_w250_q20_shared__d1__g2,5530,0.31060435857110763,1262,2601
r2_s_pct_w120_q20_shared__d2__g0,r2_s_pct_w250_q20_shared__d2__g0,5530,0.31060435857110763,702,1383
r2_s_pct_w120_q20_shared__d2__g1,r2_s_pct_w250_q20_shared__d2__g1,5530,0.31060435857110763,662,1353
r2_s_pct_w120_q20_shared__d2__g2,r2_s_pct_w250_q20_shared__d2__g2,5530,0.31060435857110763,637,1334
r2_s_pct_w120_q20_shared__d3__g0,r2_s_pct_w250_q20_shared__d3__g0,5530,0.31060435857110763,347,679
r2_s_pct_w120_q20_shared__d3__g1,r2_s_pct_w250_q20_shared__d3__g1,5530,0.31060435857110763,334,672
r2_s_pct_w120_q20_shared__d3__g2,r2_s_pct_w250_q20_shared__d3__g2,5530,0.31060435857110763,325,668
r2_s_pct_w120_qt25_primary__d1__g0,r2_s_pct_w250_qt25_primary__d1__g0,9805,0.3380801324046617,1899,4174
r2_s_pct_w120_qt25_primary__d1__g1,r2_s_pct_w250_qt25_primary__d1__g1,9805,0.3380801324046617,1704,3964
r2_s_pct_w120_qt25_primary__d1__g2,r2_s_pct_w250_qt25_primary__d1__g2,9805,0.3380801324046617,1599,3845
r2_s_pct_w120_qt25_primary__d2__g0,r2_s_pct_w250_qt25_primary__d2__g0,9805,0.3380801324046617,1086,2407
r2_s_pct_w120_qt25_primary__d2__g1,r2_s_pct_w250_qt25_primary__d2__g1,9805,0.3380801324046617,1002,2338
r2_s_pct_w120_qt25_primary__d2__g2,r2_s_pct_w250_qt25_primary__d2__g2,9805,0.3380801324046617,958,2294
r2_s_pct_w120_qt25_primary__d3__g0,r2_s_pct_w250_qt25_primary__d3__g0,9805,0.3380801324046617,626,1369
r2_s_pct_w120_qt25_primary__d3__g1,r2_s_pct_w250_qt25_primary__d3__g1,9805,0.3380801324046617,583,1346
r2_s_pct_w120_qt25_primary__d3__g2,r2_s_pct_w250_qt25_primary__d3__g2,9805,0.3380801324046617,566,1327
r2_s_pcvt_w120_q20_shared__d1__g0,r2_s_pcvt_w250_q20_shared__d1__g0,839,0.19764428739693757,229,468
r2_s_pcvt_w120_q20_shared__d1__g1,r2_s_pcvt_w250_q20_shared__d1__g1,839,0.19764428739693757,215,460
r2_s_pcvt_w120_q20_shared__d1__g2,r2_s_pcvt_w250_q20_shared__d1__g2,839,0.19764428739693757,206,455
r2_s_pcvt_w120_q20_shared__d2__g0,r2_s_pcvt_w250_q20_shared__d2__g0,839,0.19764428739693757,93,223
r2_s_pcvt_w120_q20_shared__d2__g1,r2_s_pcvt_w250_q20_shared__d2__g1,839,0.19764428739693757,90,221
r2_s_pcvt_w120_q20_shared__d2__g2,r2_s_pcvt_w250_q20_shared__d2__g2,839,0.19764428739693757,87,220
r2_s_pcvt_w120_q20_shared__d3__g0,r2_s_pcvt_w250_q20_shared__d3__g0,839,0.19764428739693757,33,88
r2_s_pcvt_w120_q20_shared__d3__g1,r2_s_pcvt_w250_q20_shared__d3__g1,839,0.19764428739693757,33,88
r2_s_pcvt_w120_q20_shared__d3__g2,r2_s_pcvt_w250_q20_shared__d3__g2,839,0.19764428739693757,33,88
r2_s_pcvt_w120_qv30_primary__d1__g0,r2_s_pcvt_w250_qv30_primary__d1__g0,1556,0.23568615571039078,405,839
r2_s_pcvt_w120_qv30_primary__d1__g1,r2_s_pcvt_w250_qv30_primary__d1__g1,1556,0.23568615571039078,377,819
r2_s_pcvt_w120_qv30_primary__d1__g2,r2_s_pcvt_w250_qv30_primary__d1__g2,1556,0.23568615571039078,367,806
r2_s_pcvt_w120_qv30_primary__d2__g0,r2_s_pcvt_w250_qv30_primary__d2__g0,1556,0.23568615571039078,169,388
r2_s_pcvt_w120_qv30_primary__d2__g1,r2_s_pcvt_w250_qv30_primary__d2__g1,1556,0.23568615571039078,160,382
r2_s_pcvt_w120_qv30_primary__d2__g2,r2_s_pcvt_w250_qv30_primary__d2__g2,1556,0.23568615571039078,157,380
r2_s_pcvt_w120_qv30_primary__d3__g0,r2_s_pcvt_w250_qv30_primary__d3__g0,1556,0.23568615571039078,71,177
r2_s_pcvt_w120_qv30_primary__d3__g1,r2_s_pcvt_w250_qv30_primary__d3__g1,1556,0.23568615571039078,70,176
r2_s_pcvt_w120_qv30_primary__d3__g2,r2_s_pcvt_w250_qv30_primary__d3__g2,1556,0.23568615571039078,70,176
