indicator_id,profile_dimension,profile_value,row_count,denominator_count,row_share
A1_LogBodyCenterToMACloudCenter_5_60,current_expected_observation_status,listing_pause,1014,1751066,0.0005790758315220557
A1_LogBodyCenterToMACloudCenter_5_60,current_expected_observation_status,missing,19283,1751066,0.011012149170847928
A1_LogBodyCenterToMACloudCenter_5_60,current_expected_observation_status,present,1730769,1751066,0.98840877499763
A1_LogBodyCenterToMACloudCenter_5_60,reason_code,adjustment_failure,76094,1751066,0.0434558149150289
A1_LogBodyCenterToMACloudCenter_5_60,reason_code,invalid_trading_status,76094,1751066,0.0434558149150289
A1_LogBodyCenterToMACloudCenter_5_60,reason_code,listing_pause_in_required_window,1191,1751066,0.0006801571157226512
A1_LogBodyCenterToMACloudCenter_5_60,reason_code,missing_adjusted_close,76094,1751066,0.0434558149150289
A1_LogBodyCenterToMACloudCenter_5_60,reason_code,missing_adjusted_open,76094,1751066,0.0434558149150289
A1_LogBodyCenterToMACloudCenter_5_60,reason_code,missing_required_history,118993,1751066,0.0679546059371834
A1_LogBodyCenterToMACloudCenter_5_60,reason_code,valid_no_blocker,1632073,1751066,0.9320453940628166
A1_LogBodyCenterToMACloudCenter_5_60,reason_code,window_insufficient,47200,1751066,0.026955009120158805
A1_LogBodyCenterToMACloudCenter_5_60,validity_status,blocked,76094,1751066,0.0434558149150289
A1_LogBodyCenterToMACloudCenter_5_60,validity_status,unknown,42899,1751066,0.024498791022154506
A1_LogBodyCenterToMACloudCenter_5_60,validity_status,valid,1632073,1751066,0.9320453940628166
A2_BodyCenterOutsideMACloudRate20_5_60,current_expected_observation_status,listing_pause,1014,1751066,0.0005790758315220557
A2_BodyCenterOutsideMACloudRate20_5_60,current_expected_observation_status,missing,19283,1751066,0.011012149170847928
A2_BodyCenterOutsideMACloudRate20_5_60,current_expected_observation_status,present,1730769,1751066,0.98840877499763
A2_BodyCenterOutsideMACloudRate20_5_60,reason_code,adjustment_failure,92498,1751066,0.05282382274568748
A2_BodyCenterOutsideMACloudRate20_5_60,reason_code,invalid_trading_status,92498,1751066,0.05282382274568748
A2_BodyCenterOutsideMACloudRate20_5_60,reason_code,listing_pause_in_required_window,1248,1751066,0.0007127087157194532
A2_BodyCenterOutsideMACloudRate20_5_60,reason_code,missing_adjusted_close,92498,1751066,0.05282382274568748
A2_BodyCenterOutsideMACloudRate20_5_60,reason_code,missing_adjusted_open,92498,1751066,0.05282382274568748
A2_BodyCenterOutsideMACloudRate20_5_60,reason_code,missing_required_history,148129,1751066,0.08459361326186449
A2_BodyCenterOutsideMACloudRate20_5_60,reason_code,valid_no_blocker,1602937,1751066,0.9154063867381355
A2_BodyCenterOutsideMACloudRate20_5_60,reason_code,window_insufficient,62400,1751066,0.03563543578597266
A2_BodyCenterOutsideMACloudRate20_5_60,validity_status,blocked,92498,1751066,0.05282382274568748
A2_BodyCenterOutsideMACloudRate20_5_60,validity_status,unknown,55631,1751066,0.031769790516177
A2_BodyCenterOutsideMACloudRate20_5_60,validity_status,valid,1602937,1751066,0.9154063867381355
A2b_BodyToMACloudGapMean20_5_60,current_expected_observation_status,listing_pause,1014,1751066,0.0005790758315220557
A2b_BodyToMACloudGapMean20_5_60,current_expected_observation_status,missing,19283,1751066,0.011012149170847928
A2b_BodyToMACloudGapMean20_5_60,current_expected_observation_status,present,1730769,1751066,0.98840877499763
A2b_BodyToMACloudGapMean20_5_60,reason_code,adjustment_failure,92498,1751066,0.05282382274568748
A2b_BodyToMACloudGapMean20_5_60,reason_code,invalid_trading_status,92498,1751066,0.05282382274568748
A2b_BodyToMACloudGapMean20_5_60,reason_code,listing_pause_in_required_window,1248,1751066,0.0007127087157194532
A2b_BodyToMACloudGapMean20_5_60,reason_code,missing_adjusted_close,92498,1751066,0.05282382274568748
A2b_BodyToMACloudGapMean20_5_60,reason_code,missing_adjusted_open,92498,1751066,0.05282382274568748
A2b_BodyToMACloudGapMean20_5_60,reason_code,missing_required_history,148129,1751066,0.08459361326186449
A2b_BodyToMACloudGapMean20_5_60,reason_code,valid_no_blocker,1602937,1751066,0.9154063867381355
A2b_BodyToMACloudGapMean20_5_60,reason_code,window_insufficient,62400,1751066,0.03563543578597266
A2b_BodyToMACloudGapMean20_5_60,validity_status,blocked,92498,1751066,0.05282382274568748
A2b_BodyToMACloudGapMean20_5_60,validity_status,unknown,55631,1751066,0.031769790516177
A2b_BodyToMACloudGapMean20_5_60,validity_status,valid,1602937,1751066,0.9154063867381355
