pair_id,calendar_year,common_count,pearson_raw,spearman_midrank
A1_A2,2016,68125,0.37576226646584104,0.4019325761779901
A1_A2,2017,113329,0.4260022274846774,0.453385415377094
A1_A2,2018,129777,0.402394717209752,0.4186128184762546
A1_A2,2019,143821,0.4000311725028732,0.4184417993056559
A1_A2,2020,154195,0.4106262450189991,0.4294675999900932
A1_A2,2021,166585,0.3760845673644037,0.38703798613508467
A1_A2,2022,174820,0.42631332413760575,0.43370277215330283
A1_A2,2023,183546,0.3707999612457443,0.41431737276073916
A1_A2,2024,187774,0.3631698802446511,0.4333359475936903
A1_A2,2025,189849,0.33661116708936734,0.3847963439520099
A1_A2,2026,91116,0.39310764440928314,0.4272248375701204
A1_A2b,2016,68125,0.6531566753949161,0.5706287236342048
A1_A2b,2017,113329,0.6817169873638687,0.6140413741741535
A1_A2b,2018,129777,0.6349292074722924,0.5501283260032611
A1_A2b,2019,143821,0.7007468887865099,0.6072325984600951
A1_A2b,2020,154195,0.6373847084110759,0.5663622751656283
A1_A2b,2021,166585,0.6856924204976491,0.5893135292318175
A1_A2b,2022,174820,0.6458894493584305,0.5786404589104734
A1_A2b,2023,183546,0.6708970051528557,0.5640690052641545
A1_A2b,2024,187774,0.6613391030978368,0.5823295922440316
A1_A2b,2025,189849,0.6919754701277656,0.5933014589739276
A1_A2b,2026,91116,0.7056042992123666,0.6327198180238689
A2_A2b,2016,68125,0.481123375695173,0.5417538453535712
A2_A2b,2017,113329,0.5012606023687904,0.5762135037813804
A2_A2b,2018,129777,0.48688651928530013,0.5534878781228019
A2_A2b,2019,143821,0.4682891454434683,0.5709939865495783
A2_A2b,2020,154195,0.44282496804496657,0.5105049762048689
A2_A2b,2021,166585,0.44911935312763923,0.5156692200587396
A2_A2b,2022,174820,0.5064642755384352,0.5623292777205098
A2_A2b,2023,183546,0.45200206418662653,0.5435840890514434
A2_A2b,2024,187774,0.35686013772550085,0.5234423174233278
A2_A2b,2025,189849,0.3765555878730145,0.49508159185865264
A2_A2b,2026,91116,0.45427200092179587,0.526706969294581
